Airport,Terminal,Date,Hour,All Passengers Average Wait Time,All Passengers Max Wait Time,Number of Passengers,Number of Flights,Number of Booths
GUM,Main Terminal,12/14/2017,0000 - 0100,11,26,247,2,12
GUM,Main Terminal,12/14/2017,0100 - 0200,15,27,183,1,12
GUM,Main Terminal,12/14/2017,0200 - 0300,35,68,867,4,12
GUM,Main Terminal,12/14/2017,0300 - 0400,52,77,355,2,12
GUM,Main Terminal,12/14/2017,0400 - 0500,4,16,253,3,12
GUM,Main Terminal,12/14/2017,0700 - 0800,18,35,110,1,7
GUM,Main Terminal,12/14/2017,0900 - 1000,3,8,63,1,5
GUM,Main Terminal,12/14/2017,1200 - 1300,10,18,162,1,14
GUM,Main Terminal,12/14/2017,1400 - 1500,29,65,912,3,18
GUM,Main Terminal,12/14/2017,1500 - 1600,39,65,735,5,18
GUM,Main Terminal,12/14/2017,1700 - 1800,7,20,160,2,10
GUM,Main Terminal,12/14/2017,2200 - 2300,8,28,158,1,3
GUM,Main Terminal,12/14/2017,2300 - 0000,22,36,188,1,10
GUM,Main Terminal,12/15/2017,0000 - 0100,22,45,374,2,10
GUM,Main Terminal,12/15/2017,0100 - 0200,25,50,357,2,10
GUM,Main Terminal,12/15/2017,0200 - 0300,23,47,478,3,10
GUM,Main Terminal,12/15/2017,0300 - 0400,44,76,374,2,10
GUM,Main Terminal,12/15/2017,0400 - 0500,21,47,206,3,10
GUM,Main Terminal,12/15/2017,0600 - 0700,8,19,64,1,6
GUM,Main Terminal,12/15/2017,1300 - 1400,12,24,330,2,13
GUM,Main Terminal,12/15/2017,1400 - 1500,26,74,583,2,17
GUM,Main Terminal,12/15/2017,1500 - 1600,56,125,1454,7,18
GUM,Main Terminal,12/15/2017,1600 - 1700,43,91,71,1,12
GUM,Main Terminal,12/15/2017,1700 - 1800,9,18,54,1,9
GUM,Main Terminal,12/15/2017,2100 - 2200,13,34,148,1,3
GUM,Main Terminal,12/15/2017,2300 - 0000,29,46,195,1,10
GUM,Main Terminal,12/16/2017,0100 - 0200,16,53,427,2,10
GUM,Main Terminal,12/16/2017,0200 - 0300,36,63,388,2,10
GUM,Main Terminal,12/16/2017,0300 - 0400,11,28,445,3,10
GUM,Main Terminal,12/16/2017,0600 - 0700,8,32,240,2,7
GUM,Main Terminal,12/16/2017,0700 - 0800,6,20,108,1,8
GUM,Main Terminal,12/16/2017,0900 - 1000,7,18,103,1,6
GUM,Main Terminal,12/16/2017,1300 - 1400,11,23,299,2,14
GUM,Main Terminal,12/16/2017,1400 - 1500,12,26,354,1,20
GUM,Main Terminal,12/16/2017,1500 - 1600,27,58,1300,5,20
GUM,Main Terminal,12/16/2017,1600 - 1700,18,43,329,3,16
GUM,Main Terminal,12/16/2017,1800 - 1900,4,13,158,1,11
GUM,Main Terminal,12/16/2017,2200 - 2300,2,16,168,1,5
GUM,Main Terminal,12/17/2017,0000 - 0100,20,30,195,1,11
GUM,Main Terminal,12/17/2017,0100 - 0200,22,51,790,4,11
GUM,Main Terminal,12/17/2017,0200 - 0300,27,51,559,3,11
GUM,Main Terminal,12/17/2017,0300 - 0400,54,101,421,3,9
GUM,Main Terminal,12/17/2017,0400 - 0500,12,33,371,3,9
GUM,Main Terminal,12/17/2017,0700 - 0800,7,24,113,1,4
GUM,Main Terminal,12/17/2017,1200 - 1300,8,17,196,1,13
GUM,Main Terminal,12/17/2017,1400 - 1500,15,32,548,2,20
GUM,Main Terminal,12/17/2017,1500 - 1600,11,28,782,6,20
GUM,Main Terminal,12/17/2017,1600 - 1700,14,31,430,2,20
GUM,Main Terminal,12/17/2017,2000 - 2100,32,68,409,1,6
GUM,Main Terminal,12/17/2017,2200 - 2300,3,14,165,1,4
GUM,Main Terminal,12/18/2017,0000 - 0100,13,24,195,1,11
GUM,Main Terminal,12/18/2017,0100 - 0200,15,38,625,3,11
GUM,Main Terminal,12/18/2017,0200 - 0300,10,24,184,1,11
GUM,Main Terminal,12/18/2017,0300 - 0400,42,96,783,5,10
GUM,Main Terminal,12/18/2017,0400 - 0500,16,44,370,3,10
GUM,Main Terminal,12/18/2017,0500 - 0600,12,24,107,1,7
GUM,Main Terminal,12/18/2017,1200 - 1300,12,23,192,1,11
GUM,Main Terminal,12/18/2017,1400 - 1500,20,32,192,1,16
GUM,Main Terminal,12/18/2017,1500 - 1600,10,24,573,5,18
GUM,Main Terminal,12/18/2017,1600 - 1700,29,54,931,4,17
GUM,Main Terminal,12/18/2017,1800 - 1900,12,23,182,1,10
GUM,Main Terminal,12/18/2017,2200 - 2300,4,15,157,1,5
GUM,Main Terminal,12/19/2017,0100 - 0200,11,23,194,1,10
GUM,Main Terminal,12/19/2017,0200 - 0300,15,34,712,4,12
GUM,Main Terminal,12/19/2017,0300 - 0400,9,22,255,2,12
GUM,Main Terminal,12/19/2017,0400 - 0500,4,13,233,2,12
GUM,Main Terminal,12/19/2017,0500 - 0600,43,78,184,1,6
GUM,Main Terminal,12/19/2017,0600 - 0700,15,40,107,1,6
GUM,Main Terminal,12/19/2017,0900 - 1000,7,18,96,1,6
GUM,Main Terminal,12/19/2017,1400 - 1500,15,38,602,3,19
GUM,Main Terminal,12/19/2017,1500 - 1600,9,24,773,5,21
GUM,Main Terminal,12/19/2017,1600 - 1700,37,57,445,2,16
GUM,Main Terminal,12/19/2017,1700 - 1800,6,15,150,1,14
GUM,Main Terminal,12/19/2017,2200 - 2300,3,11,141,1,6
GUM,Main Terminal,12/19/2017,2300 - 0000,14,25,179,1,10
GUM,Main Terminal,12/20/2017,0100 - 0200,22,59,794,4,10
GUM,Main Terminal,12/20/2017,0200 - 0300,54,90,565,3,11
GUM,Main Terminal,12/20/2017,0300 - 0400,35,57,267,2,11
GUM,Main Terminal,12/20/2017,0400 - 0500,5,13,68,1,10
GUM,Main Terminal,12/20/2017,0600 - 0700,7,27,192,2,5
GUM,Main Terminal,12/20/2017,1300 - 1400,15,29,325,2,12
GUM,Main Terminal,12/20/2017,1400 - 1500,17,46,546,2,20
GUM,Main Terminal,12/20/2017,1500 - 1600,29,76,1036,6,20
GUM,Main Terminal,12/20/2017,1600 - 1700,42,84,575,3,16
GUM,Main Terminal,12/20/2017,2200 - 2300,5,18,158,1,4
GUM,Main Terminal,12/21/2017,0000 - 0100,15,25,188,1,13
GUM,Main Terminal,12/21/2017,0100 - 0200,13,33,362,2,13
GUM,Main Terminal,12/21/2017,0200 - 0300,13,30,561,2,13
GUM,Main Terminal,12/21/2017,0300 - 0400,41,79,823,5,12
GUM,Main Terminal,12/21/2017,0400 - 0500,13,40,283,3,10
GUM,Main Terminal,12/21/2017,0700 - 0800,17,42,115,1,5
GUM,Main Terminal,12/21/2017,1000 - 1100,20,50,120,1,4
GUM,Main Terminal,12/21/2017,1300 - 1400,12,22,177,1,11
GUM,Main Terminal,12/21/2017,1400 - 1500,5,13,193,1,16
GUM,Main Terminal,12/21/2017,1500 - 1600,59,166,1895,8,18
GUM,Main Terminal,12/21/2017,1600 - 1700,77,142,82,1,11
GUM,Main Terminal,12/21/2017,1700 - 1800,33,82,151,1,9
GUM,Main Terminal,12/21/2017,2200 - 2300,14,46,166,1,5
GUM,Main Terminal,12/22/2017,0000 - 0100,26,69,183,1,10
GUM,Main Terminal,12/22/2017,0100 - 0200,42,93,589,3,10
GUM,Main Terminal,12/22/2017,0200 - 0300,37,73,486,3,10
GUM,Main Terminal,12/22/2017,0300 - 0400,49,94,425,3,11
GUM,Main Terminal,12/22/2017,0400 - 0500,11,33,225,2,9
GUM,Main Terminal,12/22/2017,0500 - 0600,24,39,183,1,11
GUM,Main Terminal,12/22/2017,0600 - 0700,10,22,89,1,8
GUM,Main Terminal,12/22/2017,1200 - 1300,11,21,178,1,12
GUM,Main Terminal,12/22/2017,1300 - 1400,11,22,138,1,13
GUM,Main Terminal,12/22/2017,1400 - 1500,29,64,951,3,21
GUM,Main Terminal,12/22/2017,1500 - 1600,34,66,894,4,21
GUM,Main Terminal,12/22/2017,1600 - 1700,32,60,312,2,17
GUM,Main Terminal,12/22/2017,1700 - 1800,6,16,222,2,12
GUM,Main Terminal,12/22/2017,2200 - 2300,11,25,165,1,4
GUM,Main Terminal,12/22/2017,2300 - 0000,23,41,187,1,9
GUM,Main Terminal,12/23/2017,0000 - 0100,7,15,123,1,10
GUM,Main Terminal,12/23/2017,0100 - 0200,29,73,646,2,10
GUM,Main Terminal,12/23/2017,0200 - 0300,41,70,553,3,10
GUM,Main Terminal,12/23/2017,0300 - 0400,25,58,353,2,10
GUM,Main Terminal,12/23/2017,0600 - 0700,14,39,353,3,9
GUM,Main Terminal,12/23/2017,1000 - 1100,14,27,121,1,6
GUM,Main Terminal,12/23/2017,1300 - 1400,11,21,179,1,11
GUM,Main Terminal,12/23/2017,1400 - 1500,8,21,340,2,18
GUM,Main Terminal,12/23/2017,1500 - 1600,5,17,628,4,22
GUM,Main Terminal,12/23/2017,1600 - 1700,4,15,458,2,22
GUM,Main Terminal,12/23/2017,1700 - 1800,15,35,543,2,11
GUM,Main Terminal,12/23/2017,1800 - 1900,35,70,407,2,9
GUM,Main Terminal,12/23/2017,1900 - 2000,19,38,159,1,9
GUM,Main Terminal,12/23/2017,2100 - 2200,29,78,192,1,7
GUM,Main Terminal,12/23/2017,2200 - 2300,18,53,174,1,7
GUM,Main Terminal,12/24/2017,0000 - 0100,7,28,112,1,10
GUM,Main Terminal,12/24/2017,0100 - 0200,15,37,533,2,10
GUM,Main Terminal,12/24/2017,0200 - 0300,6,23,137,1,10
GUM,Main Terminal,12/24/2017,0300 - 0400,23,62,525,3,10
GUM,Main Terminal,12/24/2017,0400 - 0500,15,38,410,3,10
GUM,Main Terminal,12/24/2017,0600 - 0700,22,57,308,2,8
GUM,Main Terminal,12/24/2017,0700 - 0800,30,44,188,1,11
GUM,Main Terminal,12/24/2017,0900 - 1000,67,134,454,2,5
GUM,Main Terminal,12/24/2017,1200 - 1300,13,26,199,1,9
GUM,Main Terminal,12/24/2017,1400 - 1500,8,17,195,1,16
GUM,Main Terminal,12/24/2017,1500 - 1600,10,25,760,5,16
GUM,Main Terminal,12/24/2017,1600 - 1700,3,9,111,1,16
GUM,Main Terminal,12/24/2017,1700 - 1800,16,33,393,1,12
GUM,Main Terminal,12/24/2017,1800 - 1900,9,19,188,1,12
GUM,Main Terminal,12/24/2017,2000 - 2100,30,60,353,1,6
GUM,Main Terminal,12/24/2017,2100 - 2200,17,40,168,1,4
GUM,Main Terminal,12/24/2017,2200 - 2300,59,95,153,1,5
GUM,Main Terminal,12/25/2017,0100 - 0200,7,18,168,1,9
GUM,Main Terminal,12/25/2017,0200 - 0300,22,52,181,1,9
GUM,Main Terminal,12/25/2017,0300 - 0400,63,140,844,5,9
GUM,Main Terminal,12/25/2017,0400 - 0500,42,98,272,3,7
GUM,Main Terminal,12/25/2017,0600 - 0700,29,71,250,2,9
GUM,Main Terminal,12/25/2017,0700 - 0800,36,58,371,2,10
